vendor_id,vendor_name,category,country,onboarded_date,kyc_complete,certifications,cert_expiry_date,annual_contract_value,geo_risk_weight,is_critical_supplier
V0127,"Vaughn, Burton and Garcia",Manufacturing,India,2023-03-07,1,PCI-DSS;SOC 2 Type II;ISO 27001,2026-06-29,189093.24,0.2,0
V0128,Hogan PLC,IT Services,France,2024-01-21,1,PCI-DSS;ISO 27001,2026-06-29,76723.41,0.1,0
V0129,"Patterson, Wood and Hunter",Logistics,United States,2021-11-03,1,PCI-DSS;ISO 9001,2026-06-29,8625.26,0.1,0
V0130,Short-Garcia,IT Services,Mexico,2024-05-24,1,PCI-DSS;ISO 27001,2026-06-29,31650.21,0.35,0
V0131,Zimmerman-Graham,Software Licensing,Mexico,2024-07-28,1,ISO 9001;GDPR Compliant,2026-06-29,50511.42,0.35,0
V0132,"Nelson, Morton and Medina",Logistics,France,2025-12-06,1,None,,85075.84,0.1,0
V0133,Graham-Simon,Marketing,United Kingdom,2025-08-09,1,None,,70874.26,0.1,0
V0134,Rivas Inc,Logistics,United Kingdom,2023-10-10,1,PCI-DSS,2026-06-29,47146.15,0.1,0
V0135,Christensen PLC,Marketing,France,2023-11-12,1,SOC 2 Type II;GDPR Compliant,2026-06-29,31569.93,0.1,0
V0136,Snyder LLC,Professional Services,France,2024-09-18,1,ISO 9001;GDPR Compliant,2026-06-29,20720.22,0.1,0
V0137,Lewis-Salinas,Marketing,UAE,2023-01-14,1,None,,7131.92,0.3,0
V0138,"Haynes, Hill and Smith",Raw Materials,France,2024-05-21,1,PCI-DSS;ISO 9001,2026-06-29,69115.07,0.1,0
V0139,Cortez Group,Professional Services,France,2023-02-12,1,PCI-DSS;ISO 9001;SOC 2 Type II,2026-06-29,6034.84,0.1,0
V0140,Vaughn Ltd,Facilities,Singapore,2026-03-19,1,None,,122749.3,0.15,0
V0141,Davis and Sons,Facilities,Nigeria,2025-08-31,1,PCI-DSS;ISO 27001,2026-06-29,73895.45,0.6,0
V0142,Beck-Wood,Professional Services,India,2024-12-06,1,ISO 9001;PCI-DSS,2026-06-29,46482.75,0.2,0
V0143,"Cooper, Barajas and Pierce",Software Licensing,Mexico,2026-03-14,1,None,,40496.85,0.35,0
V0144,Parker-Hall,IT Services,United Kingdom,2024-06-26,1,PCI-DSS;ISO 27001,2026-06-29,99951.43,0.1,0
V0145,Newton Ltd,Logistics,UAE,2023-02-17,1,GDPR Compliant;PCI-DSS,2026-06-29,28453.29,0.3,0
V0146,Rodgers LLC,Manufacturing,United Kingdom,2023-01-25,0,PCI-DSS;GDPR Compliant,2026-06-29,39610.77,0.1,0
V0147,"Campbell, Garcia and Lee",Professional Services,United Kingdom,2025-12-14,1,None,,20713.19,0.1,0
V0148,White-Smith,Professional Services,Vietnam,2023-06-05,1,None,,35945.46,0.4,0
V0149,Williams-Brown,Raw Materials,United Kingdom,2026-01-13,1,ISO 9001;ISO 27001,2026-06-29,14915.07,0.1,0
V0150,"Oneill, Henry and Salas",Facilities,India,2023-12-23,1,PCI-DSS;GDPR Compliant;ISO 9001,2026-06-29,20083.83,0.2,0
V0151,Mendoza-Peterson,Marketing,United States,2026-05-17,0,PCI-DSS,2026-06-29,27263.17,0.1,0
V0152,Wilson-Jones,Facilities,United States,2021-12-05,1,PCI-DSS,2026-06-29,28539.18,0.1,0
V0153,"Soto, Brown and Hernandez",Marketing,Mexico,2025-09-03,1,ISO 27001;PCI-DSS,2026-06-29,39524.37,0.35,0
V0154,Mcknight Inc,Professional Services,United Kingdom,2026-04-12,1,SOC 2 Type II;PCI-DSS,2026-06-29,11041.68,0.1,0
V0155,"Carlson, Montgomery and Rowe",Software Licensing,Singapore,2026-03-28,1,SOC 2 Type II;GDPR Compliant,2026-06-29,30203.95,0.15,0
V0156,Evans-Chapman,Professional Services,UAE,2024-09-22,1,PCI-DSS;ISO 9001,2026-06-29,320975.75,0.3,0
V0157,"Oliver, Lynch and Singh",Software Licensing,Russia,2025-02-20,1,PCI-DSS;ISO 27001,2026-06-29,25421.31,0.7,0
V0158,Baker Inc,Software Licensing,China,2023-04-05,0,ISO 27001;PCI-DSS,2026-06-29,61104.18,0.4,0
V0159,Arnold and Sons,Manufacturing,Singapore,2022-10-29,1,ISO 27001;GDPR Compliant,2026-06-29,305508.99,0.15,0
V0160,Hayes-Wheeler,Professional Services,Russia,2021-07-07,1,None,,10697.89,0.7,0
V0161,Roberts LLC,Raw Materials,India,2023-12-20,1,PCI-DSS;SOC 2 Type II;GDPR Compliant,2026-06-29,24454.57,0.2,0
V0162,Mcdaniel LLC,Marketing,Vietnam,2025-05-09,1,None,,56315.11,0.4,0
V0163,Stephens Ltd,Professional Services,United States,2023-03-05,1,PCI-DSS,2026-06-29,126598.82,0.1,0
V0164,Jones and Sons,Facilities,France,2022-10-04,1,GDPR Compliant;SOC 2 Type II,2026-06-29,1108839.95,0.1,1
V0165,"Curry, Carroll and Roberts",Facilities,Singapore,2024-02-09,1,None,,37022.55,0.15,0
V0166,"Torres, Powell and Nelson",IT Services,United States,2022-07-20,1,GDPR Compliant;SOC 2 Type II;ISO 27001,2026-06-29,4232.58,0.1,0
V0167,Miller-Williams,Professional Services,Singapore,2026-01-31,1,PCI-DSS;GDPR Compliant,2026-06-29,14167.23,0.15,0
V0168,"Wright, Davis and Hayden",Manufacturing,Mexico,2025-03-02,0,SOC 2 Type II,2026-06-29,490664.66,0.35,1
V0169,Key Ltd,Facilities,United Kingdom,2026-05-21,1,SOC 2 Type II,2026-06-29,270213.51,0.1,1
V0170,Hines and Sons,Facilities,Brazil,2023-10-14,1,SOC 2 Type II,2026-06-29,79204.25,0.3,0
V0171,"Ramos, Ramirez and Shea",Logistics,India,2025-06-29,1,ISO 27001,2026-06-29,96174.15,0.2,0
V0172,Costa-Harrison,Manufacturing,Germany,2025-03-14,1,PCI-DSS,2026-06-29,8972.19,0.1,0
V0173,Santiago-Hodge,Logistics,France,2024-12-18,1,GDPR Compliant;ISO 27001;SOC 2 Type II,2026-06-29,36528.84,0.1,0
V0174,"Simpson, Bates and Morales",Software Licensing,United Kingdom,2024-04-18,0,ISO 9001;SOC 2 Type II;ISO 27001,2026-06-29,25242.07,0.1,0
V0175,Gibson LLC,Raw Materials,China,2026-03-04,0,None,,1341.76,0.4,0
V0176,Cordova Group,Software Licensing,United States,2023-08-22,1,ISO 27001,2026-06-29,7218.1,0.1,0
V0177,"Booth, Murray and Brown",Raw Materials,India,2025-11-13,1,PCI-DSS,2026-06-29,18545.62,0.2,0
V0178,"Avila, Garrett and Wolf",IT Services,India,2025-11-25,1,SOC 2 Type II;ISO 27001,2026-06-29,39415.45,0.2,0
V0179,"Anderson, Roberts and Gilmore",Logistics,United Kingdom,2023-03-23,1,ISO 9001;PCI-DSS,2026-06-29,85641.05,0.1,0
V0180,Dudley PLC,Marketing,United Kingdom,2025-08-12,1,PCI-DSS;ISO 9001,2026-06-29,10277.82,0.1,0
V0181,Pierce-Tran,Logistics,France,2023-07-12,1,GDPR Compliant;PCI-DSS,2026-06-29,172573.31,0.1,0
V0182,Gay Inc,IT Services,Mexico,2022-04-14,1,None,,1501.3,0.35,0
V0183,"Collier, Jimenez and Moran",Manufacturing,United Kingdom,2025-06-01,1,PCI-DSS,2026-06-29,34146.71,0.1,0
V0184,"Hill, Davenport and Baird",Marketing,Germany,2025-10-27,1,None,,58563.84,0.1,0
V0185,"Thomas, Lee and Greene",Software Licensing,China,2023-07-26,1,GDPR Compliant,2026-06-29,23354.65,0.4,0
V0186,Barton-Dickerson,Professional Services,United Kingdom,2022-08-27,1,ISO 27001,2026-06-29,62933.26,0.1,0
V0187,"Adams, Smith and Barber",Raw Materials,Nigeria,2024-05-19,1,None,,60930.41,0.6,0
V0188,Ryan-Reed,IT Services,United States,2025-08-28,1,ISO 9001,2026-06-29,57142.17,0.1,0
V0189,Gibson-Morris,IT Services,United States,2026-03-09,1,SOC 2 Type II,2026-06-29,108774.39,0.1,0
V0190,"Reyes, Chase and Jenkins",Marketing,United States,2023-02-05,1,ISO 9001;GDPR Compliant,2026-06-29,8910.0,0.1,0
V0191,"Mcintyre, James and Mcneil",Manufacturing,United Kingdom,2024-03-13,1,PCI-DSS;ISO 9001,2026-06-29,18979.06,0.1,0
V0192,Martinez PLC,Facilities,South Africa,2022-10-14,0,PCI-DSS,2026-06-29,20434.86,0.35,0
V0193,Garcia-Lozano,Logistics,Vietnam,2024-04-25,1,PCI-DSS,2026-06-29,35512.2,0.4,0
V0194,Pitts-Booker,Facilities,China,2021-08-15,1,ISO 27001,2026-06-29,102587.32,0.4,0
V0195,Morgan-Schwartz,Manufacturing,France,2022-02-16,1,SOC 2 Type II;ISO 9001,2026-06-29,37131.62,0.1,0
V0196,"Villarreal, James and Stewart",Professional Services,Vietnam,2022-03-05,1,ISO 9001,2026-06-29,43954.26,0.4,0
V0197,Williamson and Sons,Logistics,Singapore,2025-08-23,0,GDPR Compliant,2026-06-29,46548.74,0.15,0
V0198,Francis Group,Professional Services,United States,2023-12-08,1,None,,31011.76,0.1,0
V0199,"Brennan, Wallace and Benson",IT Services,France,2022-04-30,1,SOC 2 Type II;PCI-DSS,2026-06-29,6747.8,0.1,0
V0200,Flynn-Carter,Marketing,France,2021-09-26,1,SOC 2 Type II,2026-06-29,9314.64,0.1,0
V0201,Sanchez Group,Facilities,South Africa,2024-09-05,1,ISO 27001,2026-06-29,7910.41,0.35,0
V0202,Thompson PLC,Professional Services,United States,2026-04-22,1,PCI-DSS;SOC 2 Type II,2026-06-29,59174.82,0.1,0
V0203,"Allen, Durham and Thomas",Raw Materials,Singapore,2024-09-29,1,PCI-DSS;ISO 27001,2026-06-29,59323.91,0.15,0
V0204,Stevens-Estrada,Raw Materials,Singapore,2025-05-31,0,PCI-DSS;ISO 9001;GDPR Compliant,2026-06-29,260314.15,0.15,0
V0205,"Payne, Jones and Landry",Professional Services,United States,2025-06-13,0,GDPR Compliant,2026-06-29,32202.92,0.1,0
V0206,Vaughn-Bryant,Logistics,United Kingdom,2024-01-14,1,ISO 9001;GDPR Compliant,2026-06-29,9816.29,0.1,0
V0207,Castaneda-Rodriguez,Software Licensing,United Kingdom,2024-01-23,1,SOC 2 Type II,2026-06-29,15949.12,0.1,0
V0208,"Howard, Phillips and Lyons",Manufacturing,Brazil,2024-09-25,1,None,,270429.43,0.3,0
V0209,Hill-Knight,Raw Materials,United Kingdom,2021-09-05,0,GDPR Compliant,2026-06-29,15863.72,0.1,0
V0210,"Crawford, Strong and Mitchell",Software Licensing,United Kingdom,2021-11-28,1,SOC 2 Type II;ISO 9001,2026-06-29,41279.35,0.1,0
V0211,Robinson-Lee,Marketing,Vietnam,2023-06-13,1,PCI-DSS;ISO 27001;GDPR Compliant,2026-06-29,208586.73,0.4,1
V0212,"Massey, Fuller and Berger",Software Licensing,United Kingdom,2023-08-16,1,GDPR Compliant;ISO 27001,2026-06-30,17898.17,0.1,0
V0213,Kramer-Johnson,Raw Materials,United States,2021-10-29,1,None,,149000.07,0.1,0
V0214,Browning LLC,Software Licensing,Pakistan,2024-08-05,1,ISO 9001,2026-06-29,37544.19,0.55,0
V0215,Anderson PLC,IT Services,UAE,2025-01-09,1,ISO 9001;PCI-DSS,2026-06-29,90985.37,0.3,0
V0216,"Mcintyre, Rivas and Scott",Professional Services,Singapore,2024-08-08,1,PCI-DSS;SOC 2 Type II,2026-06-29,118844.68,0.15,0
V0217,"Harrell, Brock and Mcdonald",Logistics,Brazil,2025-08-04,1,GDPR Compliant;SOC 2 Type II,2026-06-29,93586.06,0.3,0
V0218,Dalton Ltd,Software Licensing,Germany,2022-02-17,1,GDPR Compliant,2026-06-29,74648.63,0.1,0
V0219,"Diaz, Gibbs and Smith",Marketing,France,2024-11-14,1,None,,13117.81,0.1,0
V0220,Richardson-Curry,Marketing,Pakistan,2026-01-21,1,SOC 2 Type II,2026-06-29,29951.01,0.55,0
