transaction_id,vendor_id,transaction_date,amount,payment_status,flagged_anomaly
T000222,V0442,2025-07-16,3254.42,Pending,0
T000223,V0079,2026-03-10,13823.06,Paid,0
T000224,V0372,2026-05-22,740.62,Paid,0
T000225,V0136,2025-08-28,661.73,Paid,0
T000226,V0486,2026-03-29,651.22,Paid,0
T000227,V0272,2026-02-07,3353.22,Paid,0
T000228,V0022,2025-08-18,78195.49,Paid,0
T000229,V0471,2026-05-29,17929.22,Paid,0
T000230,V0336,2026-04-25,1552.47,Paid,0
T000231,V0302,2025-10-07,5702.67,Paid,0
T000232,V0006,2026-06-09,3136.92,Paid,0
T000233,V0372,2025-11-22,6661.21,Pending,0
T000234,V0112,2026-05-02,15306.64,Pending,0
T000235,V0067,2026-01-08,209469.57,Disputed,0
T000236,V0459,2025-08-25,9221.97,Pending,0
T000237,V0328,2026-02-17,19989.43,Pending,0
T000238,V0395,2025-12-12,344.47,Paid,0
T000239,V0199,2025-12-17,12257.22,Disputed,0
T000240,V0103,2026-05-08,2374.71,Paid,0
T000241,V0221,2025-10-19,6675.88,Paid,0
T000242,V0018,2025-08-06,15060.72,Paid,1
T000243,V0078,2026-06-23,12864.62,Paid,1
T000244,V0245,2026-02-08,2105.44,Paid,0
T000245,V0116,2025-07-01,2011.62,Paid,0
T000246,V0275,2025-12-30,2768.9,Disputed,0
T000247,V0332,2025-08-15,541.85,Paid,0
T000248,V0390,2025-11-25,7563.57,Paid,0
T000249,V0098,2025-11-30,8019.28,Paid,0
T000250,V0377,2025-10-05,1682.94,Paid,0
T000251,V0251,2026-01-15,500.48,Paid,0
T000252,V0428,2026-02-15,2744.0,Paid,0
T000253,V0109,2026-05-30,10320.92,Pending,0
T000254,V0077,2026-04-22,2462.47,Paid,0
T000255,V0010,2026-02-26,63738.33,Paid,0
T000256,V0008,2025-09-26,138967.78,Paid,0
T000257,V0313,2025-09-25,11623.25,Paid,0
T000258,V0033,2025-10-11,1919.33,Paid,0
T000259,V0167,2025-08-30,97317.84,Paid,0
T000260,V0062,2025-11-17,1126.3,Paid,0
T000261,V0225,2025-11-01,73862.77,Paid,1
T000262,V0092,2025-08-14,16683.74,Paid,0
T000263,V0406,2026-02-28,8795.31,Paid,0
T000264,V0211,2025-10-30,73248.73,Paid,0
T000265,V0256,2026-05-09,51580.71,Paid,1
T000266,V0272,2025-08-17,39368.11,Paid,0
T000267,V0238,2026-05-16,8340.27,Paid,0
T000268,V0351,2026-02-27,4879.98,Paid,0
T000269,V0187,2025-11-22,1935.84,Pending,0
T000270,V0233,2025-07-22,24848.16,Paid,1
T000271,V0121,2026-02-12,6838.6,Paid,0
T000272,V0167,2025-10-25,13283.77,Paid,0
T000273,V0446,2025-10-10,3349.01,Paid,0
T000274,V0456,2026-02-08,4119.8,Paid,0
T000275,V0324,2025-12-30,268.02,Paid,0
T000276,V0437,2026-02-23,4358.87,Pending,0
T000277,V0310,2025-09-18,33558.15,Paid,0
T000278,V0497,2026-04-09,26331.07,Paid,0
T000279,V0429,2026-02-21,689.19,Paid,0
T000280,V0168,2026-02-07,28690.34,Paid,0
T000281,V0294,2025-07-02,3997.29,Paid,0
T000282,V0259,2025-07-17,3660.53,Paid,0
T000283,V0051,2026-02-16,4854.44,Paid,0
T000284,V0209,2025-10-19,1404.37,Paid,0
T000285,V0246,2026-06-07,1012.48,Paid,0
T000286,V0013,2026-02-17,4442.42,Paid,0
T000287,V0447,2026-01-05,67113.4,Paid,1
T000288,V0354,2025-12-17,5462.03,Paid,0
T000289,V0314,2026-04-03,6172.67,Paid,0
T000290,V0172,2025-07-28,7282.84,Paid,0
T000291,V0197,2026-01-03,4506.34,Paid,0
T000292,V0361,2025-08-03,9362.59,Paid,0
T000293,V0277,2025-08-27,19206.45,Pending,0
T000294,V0360,2025-10-15,62502.14,Pending,0
T000295,V0258,2026-06-13,4040.95,Paid,0
T000296,V0257,2026-03-26,21892.28,Paid,0
T000297,V0461,2025-11-26,4094.77,Paid,0
T000298,V0482,2025-08-02,966.13,Disputed,0
T000299,V0040,2025-08-24,1984.82,Paid,0
T000300,V0105,2026-03-23,2614.51,Paid,0
T000301,V0216,2026-02-12,5276.17,Paid,0
T000302,V0403,2025-12-14,4449.02,Paid,0
T000303,V0235,2025-12-02,24050.89,Paid,0
T000304,V0117,2026-03-04,3190.1,Paid,0
T000305,V0146,2026-02-18,851.31,Paid,0
T000306,V0363,2026-06-19,1956.1,Paid,0
T000307,V0226,2025-11-10,3314.94,Paid,0
T000308,V0177,2025-09-13,2531.73,Paid,0
T000309,V0472,2025-07-12,3109.14,Paid,0
T000310,V0164,2025-09-17,27123.2,Paid,0
T000311,V0149,2026-04-19,36310.63,Pending,0
T000312,V0174,2026-06-17,822.95,Paid,0
T000313,V0060,2025-12-04,1728.25,Paid,0
T000314,V0100,2026-04-24,6570.02,Paid,0
T000315,V0043,2026-04-01,66100.67,Disputed,0
T000316,V0202,2025-10-07,4639.18,Paid,0
T000317,V0342,2025-12-31,2066.84,Paid,0
T000318,V0007,2025-11-22,2868.93,Paid,0
T000319,V0111,2026-02-12,13261.7,Paid,0
T000320,V0373,2026-02-02,12547.25,Paid,0
T000321,V0074,2025-10-14,5385.34,Paid,0
T000322,V0193,2025-08-14,2540.72,Paid,0
T000323,V0469,2025-09-08,1821.44,Paid,0
T000324,V0300,2025-12-02,4654.24,Paid,0
T000325,V0079,2025-11-11,1293.07,Paid,0
T000326,V0341,2025-11-24,3322.32,Paid,0
T000327,V0062,2025-11-18,2784.35,Paid,0
T000328,V0247,2026-04-15,3996.16,Disputed,0
T000329,V0419,2025-08-30,5936.99,Paid,1
T000330,V0075,2025-12-10,3622.63,Paid,0
T000331,V0185,2026-01-30,1064.05,Paid,0
T000332,V0100,2026-05-17,2121.42,Paid,0
T000333,V0447,2025-12-08,59374.29,Paid,0
T000334,V0353,2026-01-01,487.14,Paid,0
T000335,V0266,2025-11-21,2718.7,Pending,0
T000336,V0053,2025-10-19,1693.92,Pending,0
T000337,V0315,2026-06-18,26318.92,Paid,0
T000338,V0388,2025-08-27,462.14,Paid,0
T000339,V0009,2026-03-02,1510.2,Paid,0
T000340,V0306,2026-03-24,12863.94,Paid,0
T000341,V0418,2025-08-29,1618.75,Paid,0
T000342,V0041,2026-02-02,41028.81,Paid,0
T000343,V0388,2026-02-05,20882.87,Paid,0
T000344,V0130,2025-07-22,81568.39,Paid,0
T000345,V0462,2025-10-10,1529.23,Paid,0
T000346,V0483,2025-11-19,25662.25,Paid,0
T000347,V0374,2026-05-09,1161.16,Paid,0
T000348,V0008,2026-03-27,2120.19,Pending,0
T000349,V0276,2025-07-02,1229.86,Paid,0
T000350,V0302,2025-10-02,159.24,Paid,0
T000351,V0195,2026-02-02,2021.51,Disputed,0
T000352,V0064,2026-02-23,41495.99,Paid,0
T000353,V0168,2026-03-09,1355.17,Paid,0
T000354,V0500,2026-02-12,1618.44,Paid,0
T000355,V0439,2025-08-04,130752.0,Paid,1
T000356,V0203,2026-02-09,5815.37,Paid,0
T000357,V0356,2026-04-28,15272.49,Paid,0
T000358,V0103,2026-04-30,19673.54,Paid,0
T000359,V0256,2025-11-19,74437.6,Paid,0
T000360,V0411,2026-05-25,25673.56,Disputed,0
T000361,V0249,2026-03-18,498.2,Paid,0
T000362,V0255,2025-10-26,7018.26,Paid,0
T000363,V0035,2026-03-12,2041.2,Paid,0
T000364,V0050,2025-08-08,11002.75,Paid,0
T000365,V0151,2026-06-03,4864.94,Paid,0
T000366,V0277,2026-04-05,931.21,Paid,0
T000367,V0019,2025-07-16,503.39,Pending,0
T000368,V0085,2026-03-08,3857.8,Paid,0
T000369,V0292,2026-06-10,4671.13,Paid,0
T000370,V0288,2025-09-18,5046.15,Disputed,0
T000371,V0316,2026-06-11,3153.79,Paid,0
T000372,V0179,2026-04-24,3221.56,Paid,0
T000373,V0180,2025-07-28,8223.11,Paid,0
T000374,V0467,2026-06-17,1095.18,Paid,0
T000375,V0167,2025-07-19,2472.18,Pending,0
T000376,V0137,2025-07-10,15402.77,Paid,0
T000377,V0200,2025-12-12,12196.89,Paid,0
T000378,V0173,2026-03-11,5055.76,Paid,0
T000379,V0187,2026-02-08,688.94,Paid,0
T000380,V0436,2026-03-31,1930.45,Paid,0
T000381,V0412,2025-10-23,16976.88,Paid,0
T000382,V0291,2026-03-28,4558.9,Paid,0
T000383,V0155,2026-03-15,17819.31,Paid,0
T000384,V0206,2025-11-05,8509.29,Paid,0
T000385,V0010,2026-05-17,172311.72,Paid,0
T000386,V0493,2026-02-24,1054.32,Pending,0
T000387,V0465,2026-02-07,1309.78,Paid,0
T000388,V0383,2026-06-15,1051.99,Paid,0
T000389,V0434,2026-01-27,2241.43,Paid,0
T000390,V0121,2026-01-23,12655.58,Paid,1
T000391,V0249,2026-04-12,37854.95,Paid,0
T000392,V0140,2025-09-07,1498.26,Paid,0
T000393,V0370,2026-03-05,19692.71,Paid,0
T000394,V0490,2026-01-24,89538.19,Paid,0
T000395,V0430,2025-09-09,1121.4,Paid,0
T000396,V0341,2026-04-23,2400.16,Paid,0
T000397,V0300,2026-01-15,86585.08,Paid,0
T000398,V0055,2025-09-27,1907.42,Pending,0
T000399,V0029,2026-03-08,6422.82,Paid,0
T000400,V0244,2026-06-14,2114.41,Paid,0
T000401,V0244,2026-01-04,55715.96,Paid,0
T000402,V0404,2026-06-08,1214.54,Disputed,0
T000403,V0186,2026-06-15,20022.96,Paid,0
T000404,V0470,2025-11-07,11818.39,Paid,0
T000405,V0225,2026-05-19,474.1,Paid,0
T000406,V0141,2025-08-10,4366.54,Paid,0
T000407,V0449,2025-08-20,65121.74,Paid,0
T000408,V0309,2026-04-06,44088.54,Paid,1
T000409,V0323,2026-02-12,11037.56,Paid,0
T000410,V0161,2026-04-20,17956.96,Paid,0
T000411,V0434,2026-04-30,42256.14,Paid,0
T000412,V0377,2025-09-06,781.24,Paid,0
T000413,V0102,2025-08-12,3823.75,Pending,0
T000414,V0453,2026-04-18,128633.36,Paid,0
T000415,V0360,2025-09-24,6525.14,Paid,0
T000416,V0291,2025-08-29,23243.75,Paid,0
T000417,V0485,2025-11-13,1795.83,Pending,0
T000418,V0308,2025-10-18,10215.08,Paid,0
T000419,V0149,2025-11-11,1545.13,Paid,0
T000420,V0332,2026-02-19,754.98,Disputed,0
T000421,V0204,2026-06-16,1601.79,Paid,0
T000422,V0038,2025-08-17,5678.4,Paid,0
T000423,V0182,2026-05-06,12545.54,Paid,0
T000424,V0318,2026-01-11,2244.83,Disputed,0
T000425,V0287,2025-07-21,6382.6,Pending,0
T000426,V0450,2026-02-24,1346.23,Paid,0
T000427,V0060,2025-12-07,15329.69,Paid,0
T000428,V0458,2025-09-22,10364.53,Paid,0
T000429,V0409,2026-02-10,693.31,Disputed,0
T000430,V0475,2026-03-10,885.4,Paid,0
T000431,V0253,2025-08-26,14461.17,Paid,0
T000432,V0140,2026-04-14,47378.86,Disputed,0
T000433,V0270,2026-04-18,1458.64,Paid,0
T000434,V0146,2026-06-13,67.62,Paid,0
T000435,V0015,2025-08-10,3544.81,Paid,0
T000436,V0138,2026-04-30,8655.23,Paid,0
T000437,V0232,2025-12-13,13494.88,Paid,0
T000438,V0281,2026-05-04,3059.85,Disputed,0
T000439,V0444,2026-01-20,609.43,Paid,0
T000440,V0252,2026-02-06,56706.45,Paid,0
T000441,V0189,2026-03-19,1339.66,Paid,0
T000442,V0308,2026-02-01,893.98,Paid,0
T000443,V0323,2026-02-03,659.27,Paid,0
T000444,V0332,2026-06-16,5917.78,Paid,0
T000445,V0041,2026-03-01,9253.53,Paid,0
T000446,V0292,2025-07-24,21611.74,Paid,0
T000447,V0212,2025-08-17,3628.23,Paid,0
T000448,V0300,2025-08-10,14406.99,Paid,0
T000449,V0024,2025-08-11,2488.9,Paid,0
T000450,V0388,2026-06-08,2629.2,Pending,0
T000451,V0415,2025-10-03,2315.02,Paid,0
T000452,V0345,2025-08-23,4180.15,Paid,0
T000453,V0336,2026-03-01,4184.62,Paid,0
T000454,V0372,2026-03-06,389.73,Paid,0
T000455,V0494,2026-06-18,42306.69,Paid,0
T000456,V0098,2025-08-26,59668.51,Paid,0
T000457,V0247,2026-05-28,1597.17,Pending,0
T000458,V0276,2025-10-05,1139.5,Pending,0
T000459,V0379,2026-06-24,16556.97,Paid,1
T000460,V0151,2026-04-17,18048.82,Paid,0
T000461,V0434,2026-06-30,3713.11,Paid,0
T000462,V0375,2026-04-09,2995.58,Pending,0
T000463,V0464,2026-03-06,11710.61,Paid,1
T000464,V0138,2026-05-27,3368.16,Pending,0
T000465,V0178,2026-02-14,2616.82,Paid,0
T000466,V0113,2026-04-26,21735.4,Paid,0
T000467,V0337,2026-02-24,1402.93,Disputed,0
T000468,V0427,2026-06-09,8712.54,Disputed,0
T000469,V0083,2026-05-14,505.97,Paid,0
T000470,V0089,2025-10-10,967.31,Pending,0
T000471,V0253,2025-12-02,1167.15,Paid,0
T000472,V0134,2025-12-29,8224.68,Paid,0
T000473,V0414,2025-08-01,3165.77,Paid,0
T000474,V0250,2025-11-09,81965.66,Pending,0
T000475,V0437,2026-06-18,47482.73,Paid,0
T000476,V0485,2026-02-09,27805.03,Paid,0
T000477,V0288,2025-07-21,5019.4,Paid,0
T000478,V0186,2025-09-18,32184.96,Paid,0
T000479,V0446,2025-08-19,1332.82,Paid,0
T000480,V0104,2026-02-09,4497.67,Paid,0
T000481,V0367,2026-01-28,1809.7,Paid,0
T000482,V0216,2025-10-24,1072.56,Pending,0
T000483,V0488,2026-03-21,51183.84,Paid,1
T000484,V0413,2026-03-21,30695.4,Pending,0
T000485,V0030,2026-05-19,900.69,Pending,0
T000486,V0370,2025-12-07,1603.47,Paid,0
T000487,V0229,2026-05-25,1038.46,Paid,0
T000488,V0358,2025-12-23,3693.3,Paid,0
T000489,V0172,2026-01-15,39330.56,Disputed,0
T000490,V0146,2025-10-17,554.54,Paid,0
T000491,V0082,2025-07-11,6586.94,Paid,0
T000492,V0259,2025-08-25,165565.29,Paid,0
T000493,V0064,2025-07-24,14802.67,Paid,1
T000494,V0382,2026-04-23,21830.5,Paid,0
T000495,V0305,2025-10-27,2973.8,Paid,0
T000496,V0345,2025-09-09,14354.05,Paid,0
T000497,V0299,2025-10-06,16546.69,Paid,0
T000498,V0425,2026-01-26,29190.0,Paid,0
T000499,V0270,2026-01-22,7635.39,Paid,0
T000500,V0256,2026-05-21,3538.74,Paid,0
T000501,V0499,2026-01-29,12196.56,Paid,0
T000502,V0067,2026-06-25,5256.69,Paid,0
T000503,V0017,2025-09-18,26665.51,Paid,0
T000504,V0210,2025-08-25,586.19,Paid,0
T000505,V0191,2025-12-03,4180.16,Paid,0
T000506,V0025,2025-12-03,16174.94,Paid,0
T000507,V0063,2026-04-06,297.26,Paid,0
T000508,V0290,2026-02-16,3973.83,Paid,0
T000509,V0259,2026-05-21,4144.09,Pending,0
T000510,V0167,2025-08-14,42035.59,Paid,0
T000511,V0203,2025-12-20,51466.3,Paid,0
T000512,V0331,2025-08-14,98901.65,Paid,0
T000513,V0363,2025-12-05,5809.93,Paid,0
T000514,V0317,2026-04-03,5972.33,Paid,0
T000515,V0244,2026-03-14,615.17,Paid,0
T000516,V0414,2026-03-30,7547.82,Pending,0
T000517,V0012,2025-12-21,3795.04,Paid,0
T000518,V0132,2025-08-15,1936.98,Paid,0
T000519,V0158,2026-01-24,7752.93,Paid,0
T000520,V0366,2025-07-29,2869.12,Pending,0
T000521,V0133,2026-01-08,1193.39,Paid,0
T000522,V0261,2026-03-15,3597.57,Paid,0
T000523,V0209,2025-08-02,4609.33,Pending,0
T000524,V0138,2026-04-09,1251.03,Paid,0
T000525,V0209,2026-02-13,316.1,Disputed,0
T000526,V0192,2026-04-02,5747.06,Paid,0
T000527,V0001,2026-02-22,7642.71,Pending,0
T000528,V0140,2026-05-02,757.73,Paid,0
T000529,V0109,2026-04-25,15344.47,Paid,0
T000530,V0036,2025-11-30,88186.71,Pending,0
T000531,V0108,2026-05-08,5210.79,Pending,0
T000532,V0326,2025-11-10,978.25,Paid,0
T000533,V0492,2026-05-02,7642.52,Paid,0
T000534,V0042,2026-05-28,10801.89,Paid,0
T000535,V0228,2026-06-09,2333.86,Paid,0
T000536,V0416,2026-06-21,17480.48,Paid,1
T000537,V0349,2026-06-28,3377.07,Paid,0
