vendor_id,vendor_name,category,country,annual_contract_value,is_critical_supplier,compliance_risk_score,geo_risk_score,total_spend,spend_share_pct,disputed_count,anomaly_count,financial_risk_score,audit_risk_score,composite_risk_score,risk_tier
V0209,Hill-Knight,Raw Materials,United Kingdom,15863.72,0,85.0,10.0,68626.17,0.07901095143312985,1.0,0,6.632087611465039,7.0,34.8,High
V0279,"Mullen, Brewer and Hernandez",Manufacturing,France,113373.78,0,73.0,10.0,80569.4,0.0927614778793048,0.0,0,0.7420918230344384,35.0,34.7,High
V0268,Murphy-Smith,Marketing,India,317701.99,1,65.0,20.0,183761.64,0.21156917271228007,1.0,2,27.69255338169824,4.0,34.5,High
V0441,Michael Inc,Professional Services,South Africa,156586.03,0,73.0,35.0,140303.4,0.161534661242249,1.0,0,7.292277289937992,0.0,34.4,High
V0343,Allison Ltd,Professional Services,South Africa,362.44,0,73.0,35.0,124811.06,0.1436979595390134,1.0,0,7.1495836763121074,0.0,34.3,High
V0420,Rosales Group,Manufacturing,Germany,81487.47,0,73.0,10.0,518456.52999999997,0.596911407295774,2.0,1,26.77529125836619,0.0,34.2,High
V0130,Short-Garcia,IT Services,Mexico,31650.21,0,45.0,35.0,142031.03,0.16352372299557746,0.0,0,1.3081897839646197,55.0,34.1,High
V0230,"Richardson, Winters and Newman",Professional Services,France,43950.23,0,75.0,10.0,138760.36,0.15975812237231965,2.0,1,23.278064978978556,0.0,34.1,High
V0197,Williamson and Sons,Logistics,Singapore,46548.74,0,73.0,15.0,78961.0,0.09090968847760797,0.0,2,20.727277507820865,2.0,34.1,High
V0331,Harris-Moody,Logistics,Pakistan,221896.02,0,60.0,55.00000000000001,157938.24,0.18183807445576525,0.0,0,1.454704595646122,8.0,34.0,High
V0047,Barrera-Martin,Facilities,United Kingdom,55064.54,0,85.0,10.0,76446.79000000001,0.08801501835099755,1.0,0,6.7041201468079805,0.0,33.4,High
V0319,Williams Group,Logistics,Germany,29743.26,0,75.0,10.0,165986.64,0.19110438993737242,0.0,0,1.5288351194989793,24.0,33.4,High
V0473,Figueroa Inc,Manufacturing,UAE,12381.75,0,60.0,30.0,162856.30000000002,0.1875003546005733,1.0,1,17.500002836804587,10.0,33.4,High
V0491,Warner Inc,Logistics,United Kingdom,388510.73,0,85.0,10.0,85483.83,0.09841957871826344,1.0,0,6.787356629746108,0.0,33.4,High
V0256,"Austin, Day and Johnson",Logistics,Russia,16423.89,0,33.0,70.0,361600.81,0.41631966401578896,1.0,2,29.33055731212631,0.0,32.9,Medium
V0106,Nelson LLC,Logistics,India,96016.39,0,73.0,20.0,134838.13,0.15524236513219444,2.0,0,13.241938921057555,0.0,32.9,Medium
V0497,Elliott PLC,Facilities,UAE,24400.48,0,45.0,30.0,71421.43,0.08222920114898853,0.0,0,0.6578336091919083,55.0,32.9,Medium
V0344,Jones Ltd,Logistics,UAE,185178.39,0,75.0,30.0,175514.46,0.2020739970607716,0.0,0,1.6165919764861727,0.0,32.7,Medium
V0074,White LLC,Facilities,Russia,99400.59,0,45.0,70.0,134792.81,0.15519018713189295,0.0,1,11.241521497055144,0.0,32.6,Medium
V0196,"Villarreal, James and Stewart",Professional Services,Vietnam,43954.26,0,35.0,40.0,68422.42,0.07877636918331901,0.0,2,20.630210953466552,35.0,32.4,Medium
V0022,Carlson-Mcdonald,Raw Materials,Russia,62887.91,0,28.0,70.0,185137.98,0.21315378588383652,2.0,2,33.70523028707069,0.0,32.2,Medium
V0014,"Watts, Robinson and Nguyen",Facilities,Brazil,90026.13,0,35.0,30.0,96594.82,0.1112119273407203,0.0,1,10.889695418725763,55.5,32.1,Medium
V0248,Blair-Edwards,IT Services,Germany,27017.28,0,85.0,10.0,134809.11,0.15520895371187782,0.0,0,1.2416716296950225,0.0,32.1,Medium
V0360,Humphrey PLC,Marketing,Vietnam,14000.49,0,60.0,40.0,237021.92,0.2728890073525477,0.0,1,12.183112058820381,0.0,32.0,Medium
V0373,"Flores, Travis and Reed",Raw Materials,Germany,23337.16,0,85.0,10.0,29869.71,0.034389711769310057,0.0,0,0.27511769415448045,0.0,31.8,Medium
V0337,"Adams, Miller and Coleman",Professional Services,Mexico,32792.16,0,65.0,35.0,142719.89,0.16431682399486428,1.0,0,7.314534591958914,0.0,31.6,Medium
V0128,Hogan PLC,IT Services,France,76723.41,0,35.0,10.0,535486.28,0.6165181659152386,1.0,2,30.93214532732191,47.5,31.5,Medium
V0419,Gibson-Davidson,Raw Materials,United States,187836.65,0,65.0,10.0,51986.25,0.05985301341952416,1.0,2,26.478824107356193,0.0,31.4,Medium
V0260,"Moreno, Bennett and Chavez",Manufacturing,Mexico,20573.43,0,65.0,35.0,57905.299999999996,0.06666775730047027,1.0,0,6.533342058403762,0.0,31.4,Medium
V0489,"Clayton, Miller and Frey",Professional Services,South Africa,108550.34,0,60.0,35.0,134876.13,0.15528611544136162,2.0,0,13.242288923530893,0.0,31.3,Medium
V0204,Stevens-Estrada,Raw Materials,Singapore,260314.15,0,75.0,15.0,78068.64,0.0898822930594917,1.0,0,6.7190583444759335,2.0,31.3,Medium
V0409,"Horton, Taylor and Gilbert",Professional Services,Russia,73177.4,0,25.0,70.0,203949.02,0.23481138629846934,1.0,3,32.878491090387755,0.0,31.0,Medium
V0284,"Brown, Romero and Collins",Software Licensing,Russia,7905.09,0,33.0,70.0,219830.63,0.25309626386616557,1.0,1,18.024770110929325,4.0,30.9,Medium
V0069,Davenport PLC,Marketing,UAE,20007.54,0,35.0,30.0,62996.350000000006,0.07252920497114221,1.0,0,6.580233639769138,55.0,30.9,Medium
V0194,Pitts-Booker,Facilities,China,102587.32,0,60.0,40.0,148572.93,0.17105556898349128,1.0,0,7.36844455186793,0.0,30.8,Medium
V0399,"Taylor, Clark and Nguyen",Facilities,Russia,50888.85,0,33.0,70.0,110275.88,0.12696325904426337,0.0,2,21.015706072354106,0.0,30.8,Medium
V0157,"Oliver, Lynch and Singh",Software Licensing,Russia,25421.31,0,33.0,70.0,125908.51000000001,0.14496147998100062,0.0,2,21.159691839848005,0.0,30.8,Medium
V0187,"Adams, Smith and Barber",Raw Materials,Nigeria,60930.41,0,40.0,60.0,139368.83000000002,0.16045866844123943,0.0,1,11.283669347529916,10.0,30.8,Medium
V0026,"Lynch, Hernandez and Farmer",Raw Materials,Russia,116129.22,0,45.0,70.0,351599.31,0.4048046977753817,0.0,0,3.2384375822030536,0.0,30.6,Medium
V0073,"Moore, Spears and Hancock",IT Services,France,53972.26,0,73.0,10.0,143906.44,0.1656829273986092,0.0,1,11.325463419188873,0.0,30.4,Medium
V0297,"Bennett, Conner and Li",Logistics,United Kingdom,6845.27,0,45.0,10.0,51187.09,0.05893292139126001,1.0,0,6.47146337113008,55.0,30.4,Medium
V0415,"Hall, Rodgers and Jefferson",Logistics,United Kingdom,45252.83,0,45.0,10.0,108050.44,0.12440105672760567,2.0,0,12.995208453820846,46.0,30.2,Medium
V0275,Graham Group,Facilities,Russia,49460.79,0,33.0,70.0,64559.9,0.07432935749478252,3.0,0,18.59463485995826,0.0,30.2,Medium
V0065,Whitehead-Mathis,Professional Services,Mexico,1090.47,0,65.0,35.0,140288.95,0.16151802461152623,0.0,0,1.2921441968922098,0.0,30.1,Medium
V0192,Martinez PLC,Facilities,South Africa,20434.86,0,65.0,35.0,103280.0,0.11890873502067288,0.0,0,0.951269880165383,0.0,30.0,Medium
V0092,Ramos-Lewis,Marketing,France,32433.8,0,60.0,10.0,98624.08,0.11354826292968284,1.0,0,6.908386103437463,26.0,29.9,Medium
V0020,"Snyder, Campos and Callahan",Facilities,Singapore,16674.07,0,75.0,15.0,188538.28999999998,0.21706864414078988,0.0,0,1.736549153126319,0.0,29.7,Medium
V0085,"Ball, Harmon and Lambert",Logistics,South Africa,14389.71,0,60.0,35.0,70695.82,0.08139378899544139,1.0,0,6.651150311963531,0.0,29.7,Medium
V0347,"Richardson, Edwards and Ramirez",Marketing,China,7348.46,0,60.0,40.0,25918.45,0.029840531595628963,0.0,0,0.2387242527650317,0.0,29.1,Medium
V0174,"Simpson, Bates and Morales",Software Licensing,United Kingdom,25242.07,0,65.0,10.0,94671.26000000001,0.10899728669067806,1.0,1,16.871978293525423,0.0,29.0,Medium
V0400,"Bennett, Frye and Stevens",Facilities,Germany,108135.66,0,60.0,10.0,174473.08,0.20087503135128448,0.0,2,21.607000250810277,2.0,28.8,Medium
V0472,Wood Group,Facilities,Germany,27258.13,0,75.0,10.0,148358.82,0.1708090590178128,0.0,0,1.3664724721425023,0.0,28.6,Medium
V0125,Rodriguez-Johnson,Marketing,South Africa,90133.41,0,20.0,35.0,134654.15,0.1550305445563898,0.0,0,1.2402443564511183,71.5,28.6,Medium
V0363,Meza-Stone,Professional Services,Singapore,116671.69,0,65.0,15.0,130743.86,0.15052853412393447,0.0,1,11.204228272991475,0.0,28.6,Medium
V0052,Yu Inc,Manufacturing,United States,21690.23,0,75.0,10.0,134930.62,0.15534885108205948,0.0,0,1.2427908086564758,0.0,28.6,Medium
V0053,"Jones, Hensley and Powell",Logistics,Mexico,414138.66,1,33.0,35.0,374405.88,0.43106244747387534,0.0,2,23.448499579791005,20.0,28.4,Medium
V0378,Jimenez PLC,Raw Materials,Russia,24372.3,0,25.0,70.0,24791.32,0.028542839859534354,1.0,0,6.2283427188762746,20.0,28.3,Medium
V0132,"Nelson, Morton and Medina",Logistics,France,85075.84,0,55.0,10.0,234921.69,0.27047096230459583,1.0,2,28.163767698436764,0.0,28.3,Medium
V0303,"Wise, Lamb and Martin",Software Licensing,France,12044.14,0,60.0,10.0,504177.69999999995,0.5804718486893135,0.0,0,4.643774789514508,20.0,28.2,Medium
V0087,"Mccullough, Hunter and Estrada",Professional Services,UAE,25170.32,0,35.0,30.0,189583.30000000002,0.21827178915612638,0.0,1,11.74617431324901,35.0,28.2,Medium
V0241,"Turner, Schneider and Johnson",Manufacturing,Nigeria,10257.09,0,45.0,60.0,95656.61,0.11013174372062208,0.0,0,0.8810539497649766,0.0,28.0,Medium
V0291,"Mills, Moore and Watson",Manufacturing,Pakistan,12093.27,0,28.0,55.00000000000001,253408.21,0.291754935078941,1.0,1,18.334039480631528,13.0,28.0,Medium
V0313,Sanders LLC,Marketing,United Kingdom,38110.44,0,65.0,10.0,239778.58,0.2760628159648839,0.0,1,12.208502527719071,0.0,27.8,Medium
V0320,Copeland Group,Raw Materials,Germany,23825.28,0,73.0,10.0,89213.47,0.10271360248358588,0.0,0,0.821708819868687,0.0,27.8,Medium
V0374,Robertson-Rodriguez,Facilities,United States,23069.05,0,65.0,10.0,159891.61000000002,0.18408703607202528,0.0,1,11.472696288576202,0.0,27.6,Medium
V0110,"Smith, Gilmore and Johnston",Software Licensing,Brazil,27704.85,0,60.0,30.0,162626.06,0.18723527377997723,0.0,0,1.4978821902398178,0.0,27.4,Medium
V0371,Jones-Brown,Raw Materials,India,197172.99,0,45.0,20.0,296526.31,0.3413978352289688,3.0,1,30.73118268183175,0.0,27.4,Medium
V0207,Castaneda-Rodriguez,Software Licensing,United Kingdom,15949.12,0,60.0,10.0,77818.6,0.08959441602517171,1.0,1,16.716755328201373,0.0,27.2,Medium
V0314,Brooks Inc,Logistics,China,98068.46,0,33.0,40.0,43430.78,0.050002896115038144,1.0,0,6.400023168920305,30.0,27.2,Medium
V0412,"Townsend, Smith and Pierce",Marketing,France,52898.15,0,45.0,10.0,294167.57,0.33868216143304847,5.0,1,37.70945729146439,0.0,27.2,Medium
V0160,Hayes-Wheeler,Professional Services,Russia,10697.89,0,30.0,70.0,23535.63,0.02709713391958365,0.0,1,10.216777071356669,0.0,27.1,Medium
V0404,"Bush, Stewart and Bailey",Manufacturing,Germany,56547.76,0,60.0,10.0,132562.81,0.1526227347781352,2.0,0,13.220981878225082,4.0,27.1,Medium
V0296,"Hale, Myers and Larson",Raw Materials,Nigeria,51827.94,0,25.0,60.0,306779.19,0.3532022212777562,2.0,1,24.82561777022205,0.0,27.0,Medium
V0499,"Mccann, Brown and Kim",Marketing,Vietnam,1553.64,0,33.0,40.0,125380.44,0.14435350035568723,0.0,0,1.1548280028454978,35.0,26.8,Medium
V0091,Jordan PLC,Software Licensing,UAE,106870.5,0,30.0,30.0,100550.99,0.11576676051487539,2.0,0,12.926134084119003,35.0,26.7,Medium
V0238,Baker and Sons,Logistics,Vietnam,40072.62,0,35.0,40.0,303104.9,0.34897192329170756,2.0,0,14.791775386333661,13.0,26.5,Medium
V0479,Combs Inc,Professional Services,United Kingdom,197130.02,0,65.0,10.0,60146.46,0.06924805842923605,1.0,0,6.553984467433889,0.0,26.4,Medium
V0384,"Lee, Tran and Jones",Raw Materials,United States,107337.18,0,60.0,10.0,193980.08000000002,0.2233339071650748,2.0,0,13.786671257320599,0.0,26.4,Medium
V0134,Rivas Inc,Logistics,United Kingdom,47146.15,0,60.0,10.0,125775.72,0.14480859567693982,2.0,0,13.158468765415519,0.0,26.3,Medium
V0309,Davidson LLC,Manufacturing,France,13172.57,0,60.0,10.0,130031.66,0.14970856122422763,0.0,1,11.197668489793822,2.0,26.2,Medium
V0351,Roach Group,Manufacturing,Nigeria,81282.66,0,28.0,60.0,171285.1,0.19720463370342234,1.0,1,17.57763706962738,0.0,26.2,Medium
V0031,Keller PLC,Facilities,South Africa,17891.49,0,25.0,35.0,480392.51,0.5530873903708942,1.0,1,20.424699122967155,26.0,26.1,Medium
V0236,Lindsey-Rodriguez,Professional Services,Russia,24856.31,0,33.0,70.0,175007.13,0.20148989589367206,0.0,0,1.6119191671493764,0.0,26.0,Medium
V0166,"Torres, Powell and Nelson",IT Services,United States,4232.58,0,60.0,10.0,238369.01,0.2744399442992847,0.0,1,12.195519554394277,0.0,26.0,Medium
V0421,Rivera Ltd,Software Licensing,India,459626.31,1,25.0,20.0,143533.44,0.16525348357441566,2.0,1,23.322027868595328,37.0,26.0,Medium
V0228,"Russell, Lynn and Johnson",IT Services,Russia,56522.01,0,33.0,70.0,187517.29,0.2158931424129035,0.0,0,1.727145139303228,0.0,26.0,Medium
V0113,Graham-Johnson,IT Services,Pakistan,57986.31,0,35.0,55.00000000000001,64434.75,0.07418526930551221,0.0,0,0.5934821544440977,13.0,26.0,Medium
V0217,"Harrell, Brock and Mcdonald",Logistics,Brazil,93586.06,0,33.0,30.0,191342.55,0.22029725577197762,1.0,1,17.76237804617582,20.0,26.0,Medium
V0456,Walter-Odom,Professional Services,Nigeria,304355.36,0,35.0,60.0,65947.38,0.07592679641486853,1.0,0,6.607414371318948,0.0,25.9,Medium
V0010,Wyatt Inc,Marketing,India,305211.88,0,60.0,20.0,365745.05,0.4210910266806037,0.0,0,3.3687282134448298,0.0,25.8,Medium
V0023,Frazier Inc,Logistics,Russia,26141.98,0,33.0,70.0,46116.2,0.05309468441092519,0.0,0,0.42475747528740154,0.0,25.7,Medium
V0030,Dennis Inc,Marketing,Singapore,81409.89,0,60.0,15.0,56375.380000000005,0.0649063238004429,1.0,0,6.519250590403543,0.0,25.6,Medium
V0184,"Hill, Davenport and Baird",Marketing,Germany,58563.84,0,55.0,10.0,153231.39,0.176418965437252,1.0,1,17.411351723498015,0.0,25.6,Medium
V0138,"Haynes, Hill and Smith",Raw Materials,France,69115.07,0,45.0,10.0,166680.32,0.1919030403179799,1.0,0,7.535224322543839,30.0,25.6,Medium
V0084,"Lee, Williams and Graham",Logistics,Vietnam,42738.95,0,45.0,40.0,146139.72999999998,0.16825416760808168,1.0,0,7.346033340864653,0.0,25.6,Medium
V0107,Taylor and Sons,IT Services,Vietnam,12554.76,0,30.0,40.0,36675.05,0.042224862532144934,0.0,0,0.3377989002571595,35.0,25.6,Medium
V0167,Miller-Williams,Professional Services,Singapore,14167.23,0,45.0,15.0,483126.83,0.5562354784067358,1.0,0,10.449883827253887,20.0,25.4,Medium
V0367,Bryan Inc,Marketing,UAE,43651.92,0,35.0,30.0,149634.77,0.1722780907804931,0.0,0,1.3782247262439449,34.0,25.4,Medium
V0123,Lyons-Wang,Raw Materials,China,74046.82,0,33.0,40.0,212124.88,0.24422444952761457,0.0,1,11.953795596220917,14.0,25.3,Medium
V0269,James Ltd,IT Services,France,188695.67,0,65.0,10.0,173745.72,0.2000376043808678,0.0,0,1.6003008350469423,0.0,25.2,Medium
V0243,Morris and Sons,Raw Materials,Pakistan,470526.86,0,33.0,55.00000000000001,303448.33,0.34936732246742547,0.0,0,2.7949385797394037,10.0,25.2,Medium
V0350,Martinez Inc,Software Licensing,United Kingdom,6274.13,0,65.0,10.0,173365.9,0.19960030852750263,0.0,0,1.596802468220021,0.0,25.1,Medium
V0397,Alexander Group,Facilities,Singapore,2136.41,0,40.0,15.0,39347.700000000004,0.04530194842150398,1.0,1,16.362415587372034,20.0,25.1,Medium
V0469,Arnold LLC,Facilities,United Kingdom,13668.01,0,60.0,10.0,266392.96,0.30670458841995263,1.0,0,8.453636707359621,0.0,25.1,Medium
V0484,"Bowen, Nichols and Mitchell",Marketing,France,16460.82,0,65.0,10.0,117725.96,0.13554071439479412,0.0,0,1.084325715158353,0.0,25.0,Medium
V0323,Lopez-Barnett,Professional Services,United States,20327.7,0,65.0,10.0,115728.33,0.1332407951815936,0.0,0,1.0659263614527488,0.0,25.0,Medium
V0012,Santiago Ltd,IT Services,France,37174.19,0,45.0,10.0,210756.62,0.24264913905337576,0.0,3,26.941193112427005,2.0,24.9,Medium
V0057,Hickman-Walls,Marketing,Brazil,67651.88,0,45.0,30.0,238582.72,0.274685993735393,0.0,1,12.197487949883143,0.0,24.8,Medium
V0077,Hoover-Savage,Software Licensing,United Kingdom,43190.19,0,60.0,10.0,78921.08,0.09086372762650392,1.0,0,6.726909821012032,0.0,24.7,Medium
V0389,"Bryant, Obrien and Robertson",Marketing,France,242587.09,0,60.0,10.0,59111.16,0.06805609276921572,1.0,0,6.544448742153726,0.0,24.6,Medium
V0410,Williams PLC,Raw Materials,Russia,72881.93,0,30.0,70.0,55144.53999999999,0.06348922826003965,0.0,0,0.5079138260803172,0.0,24.6,Medium
V0411,"Hall, Garcia and Rivera",IT Services,China,48036.93,0,20.0,40.0,156415.15,0.18008450449814872,2.0,3,38.44067603598519,0.0,24.6,Medium
V0237,Howard and Sons,Manufacturing,Russia,44689.69,0,25.0,70.0,87618.2,0.1008769299650302,1.0,0,6.807015439720241,0.0,24.5,Medium
V0121,Gonzalez Inc,IT Services,Singapore,52933.65,0,45.0,15.0,110156.20999999999,0.12682548011010453,2.0,1,23.014603840880838,0.0,24.5,Medium
V0170,Hines and Sons,Facilities,Brazil,79204.25,0,35.0,30.0,55584.99,0.06399632888300495,0.0,0,0.5119706310640396,30.0,24.4,Medium
V0141,Davis and Sons,Facilities,Nigeria,73895.45,0,35.0,60.0,39081.72,0.044995719283812276,0.0,0,0.3599657542704982,0.0,24.3,Medium
V0063,Nelson PLC,Marketing,China,25796.37,0,33.0,40.0,318984.94,0.3672549932808408,1.0,1,18.938039946246725,0.0,24.3,Medium
V0461,Mathews-Thomas,IT Services,Russia,328547.26,1,25.0,70.0,32306.49,0.037195234884372756,0.0,0,0.29756187907498205,7.0,24.2,Medium
V0353,Joseph Ltd,Raw Materials,France,32710.38,0,55.0,10.0,198478.53,0.22851308027752393,0.0,1,11.828104642220191,0.0,24.2,Medium
V0066,"Henderson, Hill and Smith",Facilities,Germany,234832.09,1,55.0,10.0,166118.37,0.19125605383807218,0.0,0,1.5300484307045774,13.0,24.2,Medium
V0357,Jones Group,Marketing,Singapore,29516.5,0,35.0,15.0,129969.66,0.14963717914084962,1.0,0,7.197097433126797,35.0,24.0,Medium
V0449,Pineda Ltd,Manufacturing,UAE,79245.21,0,35.0,30.0,123954.05,0.14271126342166185,1.0,0,7.141690107373295,20.0,24.0,Medium
V0244,Weber-Richards,Professional Services,France,121169.89,0,60.0,10.0,402961.12,0.46393877848289666,0.0,0,3.7115102278631733,0.0,23.9,Medium
V0019,"Richards, Hurst and Ross",Manufacturing,UAE,14363.19,0,45.0,30.0,931570.0599999999,1.0725388983126678,0.0,0,8.580311186501342,0.0,23.9,Medium
V0271,Smith-Morse,Manufacturing,India,142198.18,0,40.0,20.0,145000.31,0.1669423261009433,2.0,1,23.335538608807546,0.0,23.8,Medium
V0316,"Guerra, Blake and Harrison",Facilities,Nigeria,1076.23,0,33.0,60.0,76280.9,0.0878240252250043,0.0,0,0.7025922018000345,0.0,23.7,Medium
V0178,"Avila, Garrett and Wolf",IT Services,India,39415.45,0,45.0,20.0,399233.17000000004,0.4596467004550082,2.0,0,15.677173603640066,0.0,23.7,Medium
V0006,Davis Inc,Logistics,Nigeria,15460.37,0,20.0,60.0,100488.95999999999,0.11569534389177959,1.0,1,16.925562751134237,2.0,23.6,Medium
V0154,Mcknight Inc,Professional Services,United Kingdom,11041.68,0,45.0,10.0,169177.62,0.19477824155701093,2.0,1,23.55822593245609,0.0,23.6,Medium
V0302,Harper and Sons,Marketing,China,35352.7,0,33.0,40.0,267174.73,0.30760465892515315,2.0,0,14.460837271401225,2.0,23.6,Medium
V0490,Gray-Tran,Logistics,Singapore,374960.43,0,33.0,15.0,448186.21,0.5160075066306123,2.0,2,36.1280600530449,0.0,23.6,Medium
V0442,Ortiz-Mack,Marketing,UAE,88609.63,0,45.0,30.0,158630.71,0.18263533173442295,1.0,0,7.461082653875383,0.0,23.6,Medium
V0273,Wilson-Smith,Marketing,Brazil,15218.98,0,30.0,30.0,192289.44,0.2213874328837488,0.0,1,11.77109946306999,20.0,23.4,Medium
V0327,Quinn Ltd,Marketing,Brazil,234294.06,1,45.0,30.0,76224.59,0.0877591941747621,1.0,0,6.702073553398097,0.0,23.4,Medium
V0402,Lee-Wright,Manufacturing,Mexico,28049.04,0,35.0,35.0,68160.29,0.0784745726427403,0.0,0,0.6277965811419224,20.0,23.4,Medium
V0414,Mitchell-Brown,IT Services,UAE,36746.02,0,45.0,30.0,57903.01,0.06666512076868099,1.0,0,6.533320966149448,0.0,23.4,Medium
V0466,"Ramsey, Hansen and Mendoza",Logistics,Mexico,90744.12,0,35.0,35.0,80748.94,0.09296818657688045,1.0,1,16.743745492615044,0.0,23.4,Medium
V0135,Christensen PLC,Marketing,France,31569.93,0,60.0,10.0,177570.94,0.20444167168698493,0.0,0,1.6355333734958795,0.0,23.4,Medium
V0079,Rasmussen LLC,Facilities,Germany,339769.21,1,60.0,10.0,121269.96,0.13962100638659566,0.0,0,1.1169680510927653,0.0,23.3,Medium
V0358,Hammond-Morrow,Software Licensing,France,2826.28,0,60.0,10.0,142241.09,0.16376557009935788,0.0,0,1.310124560794863,0.0,23.3,Medium
V0406,Blevins-Ballard,Logistics,Russia,33626.86,0,25.0,70.0,184269.24,0.2121535847368394,0.0,0,1.6972286778947152,0.0,23.2,Medium
V0050,Phillips Inc,Facilities,Russia,169828.53,0,25.0,70.0,187361.38,0.2157136394996863,0.0,0,1.7257091159974904,0.0,23.2,Medium
